user_id,product_id,rating
A1H8PY3QHMQQA0,0528881469,2.0
AAZ084UMH8VZ2,0594451647,5.0
A3BY5KCNQZXV5U,0594451647,5.0
AT09WGFUM934H,0594481813,3.0
A32HSNCNPRUMTR,0970407998,1.0
A17HMM1M7T9PJ1,0970407998,4.0
A2IDCSC6NVONIZ,0972683275,5.0
A6J8D9V5S9MBE,0972683275,5.0
A1ZPEZMQBCTZQN,0972683275,4.0
A3CLWR1UUZT6TG,0972683275,5.0
A3TAS1AG6FMBQW,0972683275,5.0
ALVJCD5NY28G4,0972683275,4.0
A120ULF73SUTI9,0972683275,4.0
A317RWPY08I5QX,0972683275,5.0
AZFF4CX9MQ4AE,0972683275,5.0
A2HI35H2BOCV9R,0972683275,3.0
A2WH3Y3YZVTHY2,0972683275,5.0
ABU4LUKJU2QOY,0972683275,5.0
ABFMCMZDV4J75,0972683275,3.0
A27K5RT7VDB7BU,0972683275,3.0
A1USUT1GJPMNAN,0972683275,5.0
AGY0KH2D5G9WH,0972683275,5.0
A1C00XXCYWEKK1,0972683275,5.0
A3JD55EKK0KJKV,0972683275,1.0
A3LDPF5FMB782Z,1400501466,5.0
A1A5KUIIIHFF4U,1400501466,1.0
A2FHM5FB0BXKGA,1400501466,5.0
A1TCCGVDJV9XAV,1400501466,2.0
A19N3S7CBSU6O7,1400501466,5.0
A1BZ18U2EF4FAI,1400501466,5.0
AOHQVDAGYMV6J,1400501466,5.0
A2ILMCJBXWF5TS,1400501466,1.0
A23GVU6ZMNS225,1400501466,1.0
A3LDPF5FMB782Z,1400501520,5.0
A1GXOJYENYFP6W,1400501520,4.0
A28OZBLQKKYGOR,1400501520,4.0
ASHQ1JCA241D6,1400501520,5.0
AOHQVDAGYMV6J,1400501520,5.0
A3LDPF5FMB782Z,1400501776,5.0
A2FHM5FB0BXKGA,1400501776,5.0
AES2AZFVTXKBZ,1400532620,1.0
A3IROM8JD6KAVG,1400532620,1.0
A3OEKYU0C8ZXAO,1400532620,5.0
A1WKUY7T0EM0GM,1400532620,5.0
A2JWDEMXQ8SQTI,1400532620,4.0
AOY9SZTMNQWAW,1400532620,5.0
A1K4G5YJDJQI6Q,1400532620,1.0
A2ZR3YTMEEIIZ4,1400532655,5.0
A2NMY5UF624JGE,1400532655,5.0
A2FHM5FB0BXKGA,1400532655,4.0
A36V8NDDRZYRYO,1400532655,1.0
A3S1YIQQW7AZO,1400532655,4.0
A3CLWR1UUZT6TG,1400532655,5.0
A5JLAU2ARJ0BO,1400532655,1.0
A1XG38WOY3LY4V,1400532655,4.0
A2DIPVQAX7SN18,1400532655,5.0
A16723ZETJAWIS,1400532655,5.0
A3RZ3PXOHNYC8S,1400532655,1.0
A3OKH5G69MS8D9,1400532655,4.0
A1WKUY7T0EM0GM,1400532655,5.0
A19CV4KEXXAA1N,1400532655,5.0
AOY9SZTMNQWAW,1400532655,2.0
A341HCMGNZCBIT,1400532655,5.0
A1BZ18U2EF4FAI,1400532655,5.0
A2A2M8EGBY2FV0,1400532655,4.0
AMI7NR2C7DO10,1400532655,5.0
A3HPCRD9RX351S,1400532655,3.0
A23GVU6ZMNS225,1400532655,1.0
A2VAUN3R0OV1MB,1400532655,5.0
A3LDPF5FMB782Z,140053271X,4.0
A2A3HDJXDN8W47,140053271X,1.0
A36V8NDDRZYRYO,140053271X,1.0
A1EARN5PUVIF1S,140053271X,5.0
A85PGE2FRU7J8,140053271X,5.0
A18HHON17J3LH0,140053271X,5.0
AOY9SZTMNQWAW,140053271X,5.0
A3L9NGPTBJBQEL,140053271X,2.0
AW8439P70QWDN,140053271X,1.0
A3L9NGPTBJBQEL,1400532736,1.0
AIW2B5CZEUTS5,1400599997,5.0
A75MTT7XI4B02,1400599997,5.0
ALUNVOQRXOZIA,1400599997,1.0
